
                                      CodeAnalysis - Version 1.4
    ==============================================================================================
     Sun Mar  4 20:22:12 2018
     Path: "C:\Users\Devin\Desktop\RepoTestbed"
     Args: *.h, *.cpp, *.cs, /m, /r, /f
                                                                               
           Code Metrics - Start Line, Size (lines/code), and Complexity (number of scopes)
    ==============================================================================================

                 file name        type                               name    line    size    cplx
    -----------------------  ----------  ---------------------------------  ------  ------  ------
                             namespace                   Global Namespace       1       1     743

                 file name        type                               name    line    size    cplx
    -----------------------  ----------  ---------------------------------  ------  ------  ------
                  Browse.h       class                             Browse      39      18      32
                  Browse.h    function                       getQueryKeys      40       2       1

                 file name        type                               name    line    size    cplx
    -----------------------  ----------  ---------------------------------  ------  ------  ------
                Browse.cpp    function                            get_key      15      28       7
                Browse.cpp    function                            get_key      47      23       5
                Browse.cpp    function                        locate_file      75      11       2
                Browse.cpp    function                        locate_file      90      11       2
                Browse.cpp    function                        browse_file     105      23       4
                Browse.cpp    function                        browse_file     132      24       4
                Browse.cpp    function                         browse_all     160       9       2
                Browse.cpp    function                    browseFilebyKey     173      24       4
                Browse.cpp    function                               main     209      31       3

                 file name        type                               name    line    size    cplx
    -----------------------  ----------  ---------------------------------  ------  ------  ------
                 CheckIn.h       class                            CheckIn      42      42      46
                 CheckIn.h    function                            CheckIn      43       2       1
                 CheckIn.h    function                            CheckIn      44       2       1
                 CheckIn.h    function                             setdbe      46       2       1
                 CheckIn.h    function                             getdbe      48       2       1
                 CheckIn.h    function                            getname      50       2       1
                 CheckIn.h    function                          file_name      52       2       2
                 CheckIn.h    function                        description      53       2       2
                 CheckIn.h    function                           datetime      54       2       2
                 CheckIn.h    function                          dependson      56       2       2
                 CheckIn.h    function                         categories      58       2       2
                 CheckIn.h    function                             author      59       2       2
                 CheckIn.h    function                         sourcepath      61       2       2
                 CheckIn.h    function                        storagepath      62       2       1
                 CheckIn.h    function                         name_space      64       2       2
                 CheckIn.h    function                       isStatusOpen      72       2       1
                 CheckIn.h    function                         setVersion      81       2       1

                 file name        type                               name    line    size    cplx
    -----------------------  ----------  ---------------------------------  ------  ------  ------
               CheckIn.cpp    function                       closeCheckIn      15       6       2
               CheckIn.cpp    function                           canClose      25      16       6
               CheckIn.cpp    function                      is_file_exist      46       4       1
               CheckIn.cpp    function                           saveFile      53      23       1
               CheckIn.cpp    function                        resetStatus      80       6       2
               CheckIn.cpp    function                          CheckFile      90      37       9
               CheckIn.cpp    function                               main     136      34       1

                 file name        type                               name    line    size    cplx
    -----------------------  ----------  ---------------------------------  ------  ------  ------
                CheckOut.h       class                           CheckOut      39      11      29
                CheckOut.h    function                           CheckOut      40       2       1

                 file name        type                               name    line    size    cplx
    -----------------------  ----------  ---------------------------------  ------  ------  ------
              CheckOut.cpp    function                           searchdb      15      16       3
              CheckOut.cpp    function                           retrieve      35      33       9
              CheckOut.cpp    function                           retrieve      72      28       7
              CheckOut.cpp    function                    dependency_file     104      14       1
              CheckOut.cpp    function                        depend_info     122      20       6
              CheckOut.cpp    function                          save_file     146      23       1
              CheckOut.cpp    function                               main     179      19       1

